True,Predicted
Grape___Black_rot,Tomato___Spider_mites Two-spotted_spider_mite
Orange___Haunglongbing_(Citrus_greening),Peach___Bacterial_spot
Corn___Cercospora_leaf_spot Gray_leaf_spot,Corn___Northern_Leaf_Blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Orange___Haunglongbing_(Citrus_greening)
Tomato___Septoria_leaf_spot,Orange___Haunglongbing_(Citrus_greening)
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Apple___Black_rot,Squash___Powdery_mildew
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Spider_mites Two-spotted_spider_mite
Strawberry___healthy,Grape___Black_rot
Soybean___healthy,Soybean___healthy
Apple___Black_rot,Grape___Esca_(Black_Measles)
Soybean___healthy,Grape___Esca_(Black_Measles)
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Orange___Haunglongbing_(Citrus_greening)
Soybean___healthy,Soybean___healthy
Potato___healthy,Soybean___healthy
Squash___Powdery_mildew,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight,Tomato___Late_blight
Soybean___healthy,Soybean___healthy
Tomato___Early_blight,Orange___Haunglongbing_(Citrus_greening)
Tomato___Septoria_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Potato___Late_blight,Tomato___Spider_mites Two-spotted_spider_mite
Peach___Bacterial_spot,Orange___Haunglongbing_(Citrus_greening)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Septoria_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Peach___Bacterial_spot,Tomato___healthy
Tomato___Bacterial_spot,Orange___Haunglongbing_(Citrus_greening)
Strawberry___Leaf_scorch,Soybean___healthy
Corn___healthy,Soybean___healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot,Peach___Bacterial_spot
Grape___healthy,Soybean___healthy
Soybean___healthy,Soybean___healthy
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Leaf_Mold
Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Bacterial_spot,Tomato___Bacterial_spot
Tomato___Target_Spot,Tomato___Septoria_leaf_spot
Tomato___Target_Spot,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Target_Spot,Peach___Bacterial_spot
"Pepper,_bell___healthy",Orange___Haunglongbing_(Citrus_greening)
Cherry___Powdery_mildew,Tomato___Bacterial_spot
Orange___Haunglongbing_(Citrus_greening),Tomato___Tomato_Yellow_Leaf_Curl_Virus
Peach___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___Target_Spot,Squash___Powdery_mildew
Soybean___healthy,Soybean___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Peach___Bacterial_spot
Soybean___healthy,Grape___Esca_(Black_Measles)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
"Pepper,_bell___healthy",Soybean___healthy
Tomato___Leaf_Mold,Peach___Bacterial_spot
Corn___Common_rust,Corn___Common_rust
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn___Common_rust,Corn___Common_rust
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Orange___Haunglongbing_(Citrus_greening)
Squash___Powdery_mildew,Tomato___Late_blight
Corn___Common_rust,Corn___Common_rust
Soybean___healthy,"Pepper,_bell___Bacterial_spot"
Corn___Common_rust,Corn___Common_rust
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Background_without_leaves,Tomato___healthy
Background_without_leaves,Background_without_leaves
Tomato___Bacterial_spot,Orange___Haunglongbing_(Citrus_greening)
Orange___Haunglongbing_(Citrus_greening),Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn___Common_rust,Corn___Common_rust
Tomato___Late_blight,Tomato___Leaf_Mold
Soybean___healthy,Soybean___healthy
Background_without_leaves,Background_without_leaves
Tomato___Septoria_leaf_spot,Soybean___healthy
Cherry___healthy,Potato___Early_blight
"Pepper,_bell___healthy","Pepper,_bell___healthy"
Soybean___healthy,Soybean___healthy
Tomato___Leaf_Mold,Tomato___Bacterial_spot
Tomato___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_mosaic_virus,Tomato___Target_Spot
Grape___Black_rot,Soybean___healthy
Peach___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Orange___Haunglongbing_(Citrus_greening),Grape___Black_rot
Potato___Late_blight,"Pepper,_bell___Bacterial_spot"
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Squash___Powdery_mildew,Squash___Powdery_mildew
Background_without_leaves,Soybean___healthy
Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight,Tomato___Bacterial_spot
Soybean___healthy,Soybean___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Orange___Haunglongbing_(Citrus_greening)
Tomato___Early_blight,Tomato___Bacterial_spot
Tomato___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Spider_mites Two-spotted_spider_mite,Orange___Haunglongbing_(Citrus_greening)
Orange___Haunglongbing_(Citrus_greening),Tomato___Septoria_leaf_spot
Tomato___Early_blight,Orange___Haunglongbing_(Citrus_greening)
Potato___Late_blight,Tomato___Leaf_Mold
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Target_Spot,Background_without_leaves
Squash___Powdery_mildew,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot,Blueberry___healthy
Potato___Late_blight,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Soybean___healthy,Soybean___healthy
Tomato___Septoria_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Apple___healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot,Tomato___healthy
Background_without_leaves,Blueberry___healthy
Cherry___Powdery_mildew,Orange___Haunglongbing_(Citrus_greening)
Strawberry___Leaf_scorch,Soybean___healthy
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___Spider_mites Two-spotted_spider_mite,Soybean___healthy
Tomato___Target_Spot,Apple___Apple_scab
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot
Corn___healthy,Blueberry___healthy
Orange___Haunglongbing_(Citrus_greening),Tomato___Spider_mites Two-spotted_spider_mite
Apple___healthy,Blueberry___healthy
Squash___Powdery_mildew,Peach___Bacterial_spot
Peach___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn___Cercospora_leaf_spot Gray_leaf_spot,Background_without_leaves
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Apple___Apple_scab
Apple___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Soybean___healthy,Soybean___healthy
Corn___Common_rust,Corn___Common_rust
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___Early_blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight,Tomato___Target_Spot
Peach___Bacterial_spot,Orange___Haunglongbing_(Citrus_greening)
Tomato___Early_blight,Potato___Early_blight
Tomato___Target_Spot,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Leaf_Mold,Tomato___Target_Spot
Tomato___Late_blight,Tomato___Late_blight
Tomato___Late_blight,Corn___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Potato___Early_blight
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Early_blight,Squash___Powdery_mildew
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Cherry___Powdery_mildew,Cherry___Powdery_mildew
Tomato___Late_blight,Apple___healthy
Peach___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Corn___Common_rust,Corn___Common_rust
Tomato___Septoria_leaf_spot,Orange___Haunglongbing_(Citrus_greening)
Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
"Pepper,_bell___Bacterial_spot","Pepper,_bell___Bacterial_spot"
Strawberry___Leaf_scorch,"Pepper,_bell___Bacterial_spot"
Potato___Early_blight,Soybean___healthy
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___Late_blight,Tomato___Late_blight
Peach___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight,Tomato___healthy
Soybean___healthy,Soybean___healthy
"Pepper,_bell___Bacterial_spot",Background_without_leaves
Grape___Black_rot,Peach___Bacterial_spot
Peach___Bacterial_spot,Peach___Bacterial_spot
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Corn___Northern_Leaf_Blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Bacterial_spot,Tomato___Bacterial_spot
Tomato___Tomato_mosaic_virus,Tomato___Septoria_leaf_spot
Grape___Black_rot,Soybean___healthy
Peach___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Peach___Bacterial_spot,Orange___Haunglongbing_(Citrus_greening)
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Potato___Late_blight,Soybean___healthy
Potato___Late_blight,Soybean___healthy
Soybean___healthy,Soybean___healthy
Tomato___Target_Spot,Corn___healthy
Tomato___Spider_mites Two-spotted_spider_mite,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot
Blueberry___healthy,Soybean___healthy
Soybean___healthy,Soybean___healthy
Peach___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Peach___Bacterial_spot,Squash___Powdery_mildew
Tomato___Late_blight,Soybean___healthy
Blueberry___healthy,Blueberry___healthy
Tomato___Late_blight,Tomato___Early_blight
"Pepper,_bell___healthy",Tomato___Tomato_Yellow_Leaf_Curl_Virus
"Pepper,_bell___healthy",Soybean___healthy
Apple___Apple_scab,Orange___Haunglongbing_(Citrus_greening)
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Cherry___healthy,Tomato___healthy
Background_without_leaves,Background_without_leaves
Apple___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy,Tomato___healthy
Grape___Esca_(Black_Measles),Orange___Haunglongbing_(Citrus_greening)
"Pepper,_bell___healthy",Soybean___healthy
Tomato___Target_Spot,Tomato___healthy
Corn___Cercospora_leaf_spot Gray_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Strawberry___Leaf_scorch,Soybean___healthy
Grape___Black_rot,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Strawberry___Leaf_scorch,Background_without_leaves
Apple___Apple_scab,Tomato___Late_blight
Blueberry___healthy,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
Cherry___Powdery_mildew,Apple___healthy
Background_without_leaves,Tomato___healthy
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Bacterial_spot,Tomato___Bacterial_spot
Tomato___Bacterial_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Spider_mites Two-spotted_spider_mite,Background_without_leaves
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Background_without_leaves,Squash___Powdery_mildew
Cherry___Powdery_mildew,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Strawberry___Leaf_scorch,Corn___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Bacterial_spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Orange___Haunglongbing_(Citrus_greening)
Squash___Powdery_mildew,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Target_Spot,Tomato___Target_Spot
Strawberry___Leaf_scorch,Soybean___healthy
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Apple___Cedar_apple_rust,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___Apple_scab,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Soybean___healthy,Soybean___healthy
Cherry___healthy,Soybean___healthy
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
Tomato___Bacterial_spot,Tomato___Bacterial_spot
Soybean___healthy,Soybean___healthy
Tomato___Septoria_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Soybean___healthy,Soybean___healthy
Tomato___Late_blight,Cherry___healthy
Grape___Black_rot,Soybean___healthy
Tomato___Target_Spot,Tomato___healthy
Tomato___Leaf_Mold,Peach___Bacterial_spot
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___Septoria_leaf_spot,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___healthy,Tomato___Bacterial_spot
Corn___Common_rust,Corn___Common_rust
Peach___Bacterial_spot,Squash___Powdery_mildew
Tomato___Late_blight,Tomato___Late_blight
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Orange___Haunglongbing_(Citrus_greening)
Soybean___healthy,Soybean___healthy
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Soybean___healthy
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Septoria_leaf_spot,Soybean___healthy
Soybean___healthy,Soybean___healthy
Apple___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Cherry___Powdery_mildew,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Peach___Bacterial_spot,Peach___Bacterial_spot
Background_without_leaves,Background_without_leaves
Corn___Northern_Leaf_Blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Soybean___healthy,Soybean___healthy
Corn___Common_rust,Corn___Common_rust
Soybean___healthy,Soybean___healthy
Background_without_leaves,Background_without_leaves
Apple___healthy,Soybean___healthy
Tomato___Septoria_leaf_spot,Orange___Haunglongbing_(Citrus_greening)
Soybean___healthy,Soybean___healthy
Grape___Esca_(Black_Measles),Tomato___Spider_mites Two-spotted_spider_mite
Cherry___healthy,Grape___Esca_(Black_Measles)
Apple___Cedar_apple_rust,Tomato___Spider_mites Two-spotted_spider_mite
Soybean___healthy,"Pepper,_bell___healthy"
Tomato___Target_Spot,Tomato___Spider_mites Two-spotted_spider_mite
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Orange___Haunglongbing_(Citrus_greening)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus,"Pepper,_bell___Bacterial_spot"
Tomato___Bacterial_spot,Orange___Haunglongbing_(Citrus_greening)
Tomato___Early_blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Corn___healthy,Squash___Powdery_mildew
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Orange___Haunglongbing_(Citrus_greening)
Tomato___Late_blight,Orange___Haunglongbing_(Citrus_greening)
Apple___healthy,Orange___Haunglongbing_(Citrus_greening)
Tomato___Late_blight,Tomato___Late_blight
Apple___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Spider_mites Two-spotted_spider_mite
Soybean___healthy,Soybean___healthy
Corn___Northern_Leaf_Blight,Corn___Northern_Leaf_Blight
Apple___healthy,Peach___Bacterial_spot
Corn___Northern_Leaf_Blight,Squash___Powdery_mildew
Apple___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Squash___Powdery_mildew,Tomato___Septoria_leaf_spot
Squash___Powdery_mildew,Orange___Haunglongbing_(Citrus_greening)
Potato___Early_blight,Grape___Esca_(Black_Measles)
Background_without_leaves,Tomato___healthy
Tomato___Bacterial_spot,Orange___Haunglongbing_(Citrus_greening)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Soybean___healthy
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Corn___Northern_Leaf_Blight
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___Late_blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Peach___Bacterial_spot,Soybean___healthy
"Pepper,_bell___healthy",Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Bacterial_spot,Tomato___Bacterial_spot
Cherry___Powdery_mildew,Tomato___Bacterial_spot
"Pepper,_bell___Bacterial_spot",Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Late_blight,Squash___Powdery_mildew
Orange___Haunglongbing_(Citrus_greening),Tomato___Tomato_Yellow_Leaf_Curl_Virus
Peach___Bacterial_spot,Peach___Bacterial_spot
Tomato___Septoria_leaf_spot,Orange___Haunglongbing_(Citrus_greening)
Apple___healthy,Tomato___Bacterial_spot
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Strawberry___healthy,Tomato___Bacterial_spot
"Pepper,_bell___Bacterial_spot",Soybean___healthy
Tomato___Leaf_Mold,Orange___Haunglongbing_(Citrus_greening)
Corn___healthy,"Pepper,_bell___healthy"
Tomato___Leaf_Mold,Orange___Haunglongbing_(Citrus_greening)
Cherry___Powdery_mildew,Apple___healthy
Tomato___Septoria_leaf_spot,Blueberry___healthy
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Soybean___healthy
Tomato___Late_blight,Peach___Bacterial_spot
Apple___Apple_scab,Peach___Bacterial_spot
Tomato___Early_blight,Soybean___healthy
Tomato___Bacterial_spot,Tomato___Spider_mites Two-spotted_spider_mite
Tomato___healthy,Tomato___healthy
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Apple___Black_rot,Tomato___Septoria_leaf_spot
Soybean___healthy,Soybean___healthy
Potato___Early_blight,"Pepper,_bell___healthy"
Apple___Cedar_apple_rust,Cherry___Powdery_mildew
Cherry___Powdery_mildew,Tomato___Tomato_Yellow_Leaf_Curl_Virus
"Pepper,_bell___Bacterial_spot",Cherry___Powdery_mildew
Soybean___healthy,Soybean___healthy
Soybean___healthy,Soybean___healthy
Peach___Bacterial_spot,Orange___Haunglongbing_(Citrus_greening)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Grape___Black_rot
Squash___Powdery_mildew,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Peach___Bacterial_spot,Soybean___healthy
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Soybean___healthy
Soybean___healthy,Cherry___healthy
Tomato___Bacterial_spot,Tomato___Bacterial_spot
Blueberry___healthy,Soybean___healthy
Strawberry___Leaf_scorch,Background_without_leaves
Background_without_leaves,Background_without_leaves
Squash___Powdery_mildew,Peach___Bacterial_spot
Tomato___healthy,Corn___healthy
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Spider_mites Two-spotted_spider_mite
Grape___Esca_(Black_Measles),Tomato___healthy
Corn___Common_rust,Corn___Common_rust
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Tomato___Tomato_Yellow_Leaf_Curl_Virus
Blueberry___healthy,Corn___Northern_Leaf_Blight
Tomato___Bacterial_spot,Tomato___Bacterial_spot
Tomato___Septoria_leaf_spot,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Spider_mites Two-spotted_spider_mite
Background_without_leaves,Background_without_leaves
"Pepper,_bell___Bacterial_spot",Tomato___Spider_mites Two-spotted_spider_mite
Corn___Cercospora_leaf_spot Gray_leaf_spot,Apple___Apple_scab
Apple___healthy,Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Apple___healthy,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Potato___healthy,Strawberry___Leaf_scorch
Tomato___Septoria_leaf_spot,Soybean___healthy
Corn___Northern_Leaf_Blight,Tomato___Tomato_Yellow_Leaf_Curl_Virus
"Pepper,_bell___healthy",Soybean___healthy
Grape___Black_rot,Tomato___Spider_mites Two-spotted_spider_mite
Cherry___healthy,Soybean___healthy
Squash___Powdery_mildew,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Apple___healthy,Apple___healthy
Tomato___Late_blight,Tomato___Late_blight
Soybean___healthy,Soybean___healthy
Squash___Powdery_mildew,Squash___Powdery_mildew
Tomato___Bacterial_spot,Tomato___Bacterial_spot
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___Target_Spot,Tomato___Target_Spot
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___healthy,Peach___Bacterial_spot
Squash___Powdery_mildew,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Blueberry___healthy,Blueberry___healthy
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___Leaf_blight_(Isariopsis_Leaf_Spot)
Grape___Esca_(Black_Measles),Soybean___healthy
Tomato___Septoria_leaf_spot,Squash___Powdery_mildew
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Orange___Haunglongbing_(Citrus_greening)
Tomato___healthy,Peach___Bacterial_spot
Squash___Powdery_mildew,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Soybean___healthy,Soybean___healthy
Apple___healthy,Apple___healthy
Tomato___Septoria_leaf_spot,Squash___Powdery_mildew
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___Black_rot
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Soybean___healthy
Tomato___Spider_mites Two-spotted_spider_mite,Tomato___Target_Spot
Background_without_leaves,Blueberry___healthy
Peach___Bacterial_spot,Peach___Bacterial_spot
Tomato___Early_blight,Corn___Northern_Leaf_Blight
Soybean___healthy,Soybean___healthy
Cherry___Powdery_mildew,Apple___healthy
Soybean___healthy,Soybean___healthy
Tomato___Target_Spot,Potato___Late_blight
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___Tomato_Yellow_Leaf_Curl_Virus,Tomato___Tomato_Yellow_Leaf_Curl_Virus
Squash___Powdery_mildew,Corn___healthy
Soybean___healthy,Grape___Esca_(Black_Measles)
Soybean___healthy,Soybean___healthy
Strawberry___Leaf_scorch,"Pepper,_bell___healthy"
Grape___Leaf_blight_(Isariopsis_Leaf_Spot),Grape___Esca_(Black_Measles)
Tomato___Late_blight,Tomato___Late_blight
Orange___Haunglongbing_(Citrus_greening),Orange___Haunglongbing_(Citrus_greening)
Tomato___Bacterial_spot,Tomato___Bacterial_spot
Tomato___Septoria_leaf_spot,Squash___Powdery_mildew
Strawberry___Leaf_scorch,Cherry___healthy
