names,klass,batch
image (589).JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),batch_0001
image (720).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (713).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (1153).JPG,Grape___Esca_(Black_Measles),batch_0001
image (772).JPG,Blueberry___healthy,batch_0001
image (475).JPG,Apple___healthy,batch_0001
image (640).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (652).JPG,Potato___Late_blight,batch_0001
image (550).JPG,Corn___Common_rust,batch_0001
image (520).JPG,Cherry___healthy,batch_0001
image (2069).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (2200).JPG,Peach___Bacterial_spot,batch_0001
image (686).JPG,Grape___Black_rot,batch_0001
image (512).JPG,"Pepper,_bell___Bacterial_spot",batch_0001
image (379).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (435).JPG,Corn___Common_rust,batch_0001
image (369).JPG,Cherry___Powdery_mildew,batch_0001
image (986).JPG,Peach___Bacterial_spot,batch_0001
image (95).JPG,Apple___Black_rot,batch_0001
image (11).JPG,Tomato___healthy,batch_0001
image (144).jpg,Background_without_leaves,batch_0001
image (676).JPG,"Pepper,_bell___healthy",batch_0001
image (4338).JPG,Soybean___healthy,batch_0001
image (931).JPG,"Pepper,_bell___healthy",batch_0001
image (2211).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (734).JPG,Squash___Powdery_mildew,batch_0001
image (126).JPG,Peach___Bacterial_spot,batch_0001
image (751).JPG,Tomato___healthy,batch_0001
image (204).JPG,Corn___Cercospora_leaf_spot Gray_leaf_spot,batch_0001
image (4671).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (200).JPG,Corn___Northern_Leaf_Blight,batch_0001
image (889).jpg,Background_without_leaves,batch_0001
image (92).JPG,Tomato___Late_blight,batch_0001
image (863).JPG,Corn___Common_rust,batch_0001
image (590).JPG,Tomato___Leaf_Mold,batch_0001
image (658).jpg,Corn___healthy,batch_0001
image (195).JPG,Peach___Bacterial_spot,batch_0001
image (4665).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (1782).JPG,Tomato___Late_blight,batch_0001
image (3122).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (3670).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (533).JPG,Soybean___healthy,batch_0001
image (1255).JPG,Grape___Esca_(Black_Measles),batch_0001
image (1213).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (854).JPG,Cherry___healthy,batch_0001
image (1075).JPG,Tomato___Bacterial_spot,batch_0001
image (600).JPG,Blueberry___healthy,batch_0001
image (1222).JPG,Apple___healthy,batch_0001
image (1637).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (754).JPG,Tomato___healthy,batch_0001
image (11).JPG,Apple___Cedar_apple_rust,batch_0001
image (120).JPG,Apple___healthy,batch_0001
image (1033).JPG,Tomato___Target_Spot,batch_0001
image (651).JPG,Corn___Common_rust,batch_0001
image (1052).JPG,"Pepper,_bell___healthy",batch_0001
image (1855).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (570).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (735).JPG,Peach___Bacterial_spot,batch_0001
image (1407).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (462).JPG,Apple___healthy,batch_0001
image (728).JPG,Tomato___Bacterial_spot,batch_0001
image (1464).JPG,Tomato___Late_blight,batch_0001
image (1594).JPG,Squash___Powdery_mildew,batch_0001
image (848).JPG,Tomato___healthy,batch_0001
image (1004).JPG,Blueberry___healthy,batch_0001
image (170).JPG,Tomato___healthy,batch_0001
image (438).JPG,Apple___Black_rot,batch_0001
image (659).JPG,Strawberry___Leaf_scorch,batch_0001
image (616).JPG,Cherry___Powdery_mildew,batch_0001
image (2341).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (600).JPG,Tomato___Early_blight,batch_0001
image (1847).JPG,Peach___Bacterial_spot,batch_0001
image (1131).JPG,Tomato___Late_blight,batch_0001
image (4855).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (643).JPG,Potato___Early_blight,batch_0001
image (1187).JPG,"Pepper,_bell___healthy",batch_0001
image (744).JPG,Tomato___Bacterial_spot,batch_0001
image (1418).JPG,Tomato___Bacterial_spot,batch_0001
image (1341).JPG,"Pepper,_bell___healthy",batch_0001
image (39).JPG,Tomato___Tomato_mosaic_virus,batch_0001
image (420).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (3009).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (441).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (335).JPG,Tomato___Target_Spot,batch_0001
image (1660).JPG,Squash___Powdery_mildew,batch_0001
image (28).JPG,Potato___Late_blight,batch_0001
image (170).JPG,Tomato___Late_blight,batch_0001
image (3493).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (1556).JPG,Soybean___healthy,batch_0001
image (45).JPG,Peach___Bacterial_spot,batch_0001
image (13).JPG,Corn___Cercospora_leaf_spot Gray_leaf_spot,batch_0001
image (818).JPG,Blueberry___healthy,batch_0001
image (268).jpg,Background_without_leaves,batch_0001
image (1010).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (797).JPG,Apple___healthy,batch_0001
image (978).JPG,Tomato___Bacterial_spot,batch_0001
image (640).JPG,Tomato___Leaf_Mold,batch_0001
image (4519).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (4209).JPG,Soybean___healthy,batch_0001
image (292).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (734).JPG,Grape___Black_rot,batch_0001
image (236).jpg,Corn___healthy,batch_0001
image (690).jpg,Background_without_leaves,batch_0001
image (2573).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (232).JPG,Tomato___Bacterial_spot,batch_0001
image (204).JPG,"Pepper,_bell___Bacterial_spot",batch_0001
image (3733).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (2168).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (155).JPG,Peach___healthy,batch_0001
image (3812).JPG,Soybean___healthy,batch_0001
image (8).JPG,Tomato___healthy,batch_0001
image (141).jpg,Background_without_leaves,batch_0001
image (743).JPG,Tomato___Bacterial_spot,batch_0001
image (499).jpg,Corn___healthy,batch_0001
image (1323).JPG,Grape___Esca_(Black_Measles),batch_0001
image (1691).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (581).jpg,Corn___healthy,batch_0001
image (801).JPG,Blueberry___healthy,batch_0001
image (556).JPG,Tomato___Leaf_Mold,batch_0001
image (1566).JPG,Tomato___healthy,batch_0001
image (4668).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (3813).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (423).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (599).JPG,Apple___Black_rot,batch_0001
image (408).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (1495).JPG,Squash___Powdery_mildew,batch_0001
image (202).JPG,Tomato___Leaf_Mold,batch_0001
image (934).JPG,Tomato___Late_blight,batch_0001
image (10).JPG,Potato___Early_blight,batch_0001
image (1208).JPG,Tomato___healthy,batch_0001
image (421).JPG,Apple___healthy,batch_0001
image (898).JPG,"Pepper,_bell___healthy",batch_0001
image (5252).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (5213).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (1331).JPG,Soybean___healthy,batch_0001
image (817).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (319).JPG,Apple___Black_rot,batch_0001
image (301).JPG,Tomato___Tomato_mosaic_virus,batch_0001
image (1034).JPG,Tomato___Late_blight,batch_0001
image (844).JPG,"Pepper,_bell___healthy",batch_0001
image (35).JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),batch_0001
image (817).JPG,Grape___Esca_(Black_Measles),batch_0001
image (5084).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (275).JPG,Tomato___Tomato_mosaic_virus,batch_0001
image (105).JPG,Tomato___Target_Spot,batch_0001
image (287).jpg,Corn___healthy,batch_0001
image (1212).JPG,Tomato___healthy,batch_0001
image (2744).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (1338).JPG,Squash___Powdery_mildew,batch_0001
image (2912).JPG,Soybean___healthy,batch_0001
image (968).JPG,Grape___Black_rot,batch_0001
image (363).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (46).JPG,Potato___healthy,batch_0001
image (885).JPG,Tomato___healthy,batch_0001
image (273).JPG,Tomato___Tomato_mosaic_virus,batch_0001
image (363).JPG,Tomato___Leaf_Mold,batch_0001
image (441).JPG,Soybean___healthy,batch_0001
image (322).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (974).JPG,Grape___Black_rot,batch_0001
image (255).JPG,Tomato___healthy,batch_0001
image (622).JPG,Cherry___Powdery_mildew,batch_0001
image (851).JPG,Squash___Powdery_mildew,batch_0001
image (1691).JPG,Soybean___healthy,batch_0001
image (2309).JPG,Soybean___healthy,batch_0001
image (75).jpg,Tomato___Late_blight,batch_0001
image (1286).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (4582).JPG,Soybean___healthy,batch_0001
image (478).JPG,Tomato___Early_blight,batch_0001
image (1113).jpg,Corn___healthy,batch_0001
image (577).jpg,Corn___healthy,batch_0001
image (3206).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (108).JPG,Strawberry___Leaf_scorch,batch_0001
image (1019).JPG,Soybean___healthy,batch_0001
image (864).JPG,"Pepper,_bell___healthy",batch_0001
image (4425).JPG,Soybean___healthy,batch_0001
image (551).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (445).JPG,Potato___Late_blight,batch_0001
image (13).JPG,Blueberry___healthy,batch_0001
image (1454).JPG,Tomato___Late_blight,batch_0001
image (4311).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (325).JPG,Peach___healthy,batch_0001
image (2700).JPG,Soybean___healthy,batch_0001
image (260).JPG,"Pepper,_bell___Bacterial_spot",batch_0001
image (357).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (1232).JPG,Blueberry___healthy,batch_0001
image (2195).JPG,Soybean___healthy,batch_0001
image (942).JPG,Apple___healthy,batch_0001
image (1065).JPG,Tomato___healthy,batch_0001
image (787).JPG,Cherry___Powdery_mildew,batch_0001
image (1463).JPG,Squash___Powdery_mildew,batch_0001
image (1244).JPG,Squash___Powdery_mildew,batch_0001
image (3941).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (5083).JPG,Soybean___healthy,batch_0001
image (589).JPG,Apple___Black_rot,batch_0001
image (810).JPG,Potato___Late_blight,batch_0001
image (813).JPG,Tomato___Bacterial_spot,batch_0001
image (214).JPG,Corn___Cercospora_leaf_spot Gray_leaf_spot,batch_0001
image (902).JPG,Tomato___healthy,batch_0001
image (351).JPG,Grape___healthy,batch_0001
image (1504).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (1854).JPG,Tomato___Late_blight,batch_0001
image (421).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (1482).JPG,Blueberry___healthy,batch_0001
image (4158).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (3873).JPG,Soybean___healthy,batch_0001
image (131).JPG,Peach___healthy,batch_0001
image (1062).JPG,Apple___healthy,batch_0001
image (427).JPG,Tomato___Bacterial_spot,batch_0001
image (1902).JPG,Peach___Bacterial_spot,batch_0001
image (1983).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (559).JPG,Tomato___healthy,batch_0001
image (1044).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (28).JPG,Tomato___Leaf_Mold,batch_0001
image (852).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (519).JPG,Apple___Black_rot,batch_0001
image (745).JPG,Corn___Northern_Leaf_Blight,batch_0001
image (364).JPG,Strawberry___healthy,batch_0001
image (2840).JPG,Soybean___healthy,batch_0001
image (5139).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (956).JPG,Grape___Black_rot,batch_0001
image (482).JPG,Peach___Bacterial_spot,batch_0001
image (32).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (359).JPG,Corn___Common_rust,batch_0001
image (96).JPG,Peach___Bacterial_spot,batch_0001
image (637).jpg,Background_without_leaves,batch_0001
image (646).JPG,Peach___Bacterial_spot,batch_0001
image (219).JPG,Soybean___healthy,batch_0001
image (476).JPG,Tomato___Bacterial_spot,batch_0001
image (245).JPG,Tomato___Leaf_Mold,batch_0001
image (175).JPG,Corn___Northern_Leaf_Blight,batch_0001
image (686).JPG,Strawberry___Leaf_scorch,batch_0001
image (788).JPG,"Pepper,_bell___Bacterial_spot",batch_0001
image (356).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (612).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (2961).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (1639).JPG,Tomato___Bacterial_spot,batch_0001
image (1728).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (1535).JPG,Tomato___Bacterial_spot,batch_0001
image (1040).JPG,Corn___Common_rust,batch_0001
image (3246).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (126).jpg,Corn___Cercospora_leaf_spot Gray_leaf_spot,batch_0001
image (442).JPG,Potato___Late_blight,batch_0001
image (30).JPG,Grape___Esca_(Black_Measles),batch_0001
image (34).jpg,Corn___Northern_Leaf_Blight,batch_0001
image (1469).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (392).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (624).JPG,Squash___Powdery_mildew,batch_0001
image (3).JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),batch_0001
image (2143).JPG,Peach___Bacterial_spot,batch_0001
image (981).JPG,Cherry___Powdery_mildew,batch_0001
image (21).JPG,Corn___Cercospora_leaf_spot Gray_leaf_spot,batch_0001
image (654).JPG,Tomato___Bacterial_spot,batch_0001
image (292).JPG,Strawberry___Leaf_scorch,batch_0001
image (1236).JPG,Tomato___Bacterial_spot,batch_0001
image (287).JPG,Tomato___Early_blight,batch_0001
image (399).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (1103).JPG,Tomato___healthy,batch_0001
image (2301).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (185).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (533).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (955).JPG,Grape___Black_rot,batch_0001
image (712).JPG,Grape___Esca_(Black_Measles),batch_0001
image (2129).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (1643).JPG,Soybean___healthy,batch_0001
image (136).JPG,Grape___healthy,batch_0001
image (40).JPG,"Pepper,_bell___healthy",batch_0001
image (247).JPG,Apple___Apple_scab,batch_0001
image (216).JPG,Strawberry___healthy,batch_0001
image (285).JPG,Tomato___Early_blight,batch_0001
image (1313).JPG,"Pepper,_bell___healthy",batch_0001
image (351).JPG,Soybean___healthy,batch_0001
image (3398).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (2991).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (611).JPG,Apple___Apple_scab,batch_0001
image (4133).JPG,Soybean___healthy,batch_0001
image (926).JPG,Blueberry___healthy,batch_0001
image (1555).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (476).JPG,Corn___Northern_Leaf_Blight,batch_0001
image (450).JPG,Corn___Northern_Leaf_Blight,batch_0001
image (4926).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (323).JPG,Apple___Black_rot,batch_0001
image (600).jpg,Corn___healthy,batch_0001
image (1905).JPG,Peach___Bacterial_spot,batch_0001
image (725).JPG,Corn___Common_rust,batch_0001
image (1549).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (1355).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (786).JPG,Strawberry___Leaf_scorch,batch_0001
image (98).JPG,Tomato___Late_blight,batch_0001
image (1822).JPG,Tomato___Late_blight,batch_0001
image (4991).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (4460).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (530).JPG,Apple___Apple_scab,batch_0001
image (793).JPG,Tomato___Leaf_Mold,batch_0001
image (864).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (1728).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (1272).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (651).JPG,Tomato___healthy,batch_0001
image (255).JPG,Apple___Cedar_apple_rust,batch_0001
image (103).JPG,Tomato___Late_blight,batch_0001
image (818).JPG,Tomato___Leaf_Mold,batch_0001
image (328).JPG,Tomato___Tomato_mosaic_virus,batch_0001
image (4607).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (1639).JPG,Apple___healthy,batch_0001
image (1783).JPG,Tomato___Bacterial_spot,batch_0001
image (899).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (791).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (75).JPG,Tomato___Leaf_Mold,batch_0001
image (187).JPG,Peach___healthy,batch_0001
image (710).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (2984).JPG,Soybean___healthy,batch_0001
image (545).JPG,Potato___Early_blight,batch_0001
image (220).JPG,Apple___Cedar_apple_rust,batch_0001
image (350).JPG,Peach___healthy,batch_0001
image (854).JPG,Tomato___Target_Spot,batch_0001
image (804).JPG,"Pepper,_bell___healthy",batch_0001
image (1407).JPG,Peach___Bacterial_spot,batch_0001
image (376).JPG,Tomato___Target_Spot,batch_0001
image (578).JPG,Cherry___Powdery_mildew,batch_0001
image (229).JPG,Tomato___Leaf_Mold,batch_0001
image (1443).JPG,"Pepper,_bell___healthy",batch_0001
image (4693).JPG,Soybean___healthy,batch_0001
image (106).JPG,Apple___healthy,batch_0001
image (804).JPG,Potato___Early_blight,batch_0001
image (116).JPG,Tomato___Spider_mites Two-spotted_spider_mite,batch_0001
image (1134).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (778).jpg,Corn___healthy,batch_0001
image (255).JPG,Corn___Cercospora_leaf_spot Gray_leaf_spot,batch_0001
image (12).JPG,Grape___healthy,batch_0001
image (1185).JPG,Tomato___Bacterial_spot,batch_0001
image (317).JPG,Tomato___Late_blight,batch_0001
image (507).JPG,Corn___Common_rust,batch_0001
image (2899).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (1074).JPG,Grape___Black_rot,batch_0001
image (1610).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (331).JPG,Strawberry___healthy,batch_0001
image (167).jpg,Corn___healthy,batch_0001
image (952).JPG,Corn___Common_rust,batch_0001
image (820).JPG,"Pepper,_bell___healthy",batch_0001
image (297).JPG,Squash___Powdery_mildew,batch_0001
image (388).JPG,"Pepper,_bell___healthy",batch_0001
image (4942).JPG,Soybean___healthy,batch_0001
image (1128).JPG,"Pepper,_bell___healthy",batch_0001
image (1058).JPG,Tomato___Bacterial_spot,batch_0001
image (878).JPG,Soybean___healthy,batch_0001
image (661).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (178).JPG,Blueberry___healthy,batch_0001
image (270).JPG,Potato___Late_blight,batch_0001
image (564).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (567).JPG,Tomato___Septoria_leaf_spot,batch_0001
image (5043).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (1195).JPG,Tomato___Target_Spot,batch_0001
image (912).JPG,Tomato___Bacterial_spot,batch_0001
image (604).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (128).JPG,Soybean___healthy,batch_0001
image (3940).JPG,Soybean___healthy,batch_0001
image (2117).JPG,Peach___Bacterial_spot,batch_0001
image (42).JPG,Blueberry___healthy,batch_0001
image (321).JPG,Tomato___Leaf_Mold,batch_0001
image (3688).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (220).JPG,Cherry___healthy,batch_0001
image (896).JPG,Tomato___Bacterial_spot,batch_0001
image (3942).JPG,Soybean___healthy,batch_0001
image (1537).JPG,Tomato___healthy,batch_0001
image (178).JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),batch_0001
image (658).JPG,Tomato___healthy,batch_0001
image (322).JPG,Grape___healthy,batch_0001
image (2576).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (1761).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (389).JPG,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),batch_0001
image (5217).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (5).JPG,Tomato___Leaf_Mold,batch_0001
image (1045).JPG,Tomato___healthy,batch_0001
image (3095).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (904).JPG,Corn___Northern_Leaf_Blight,batch_0001
image (845).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (1475).JPG,Tomato___Bacterial_spot,batch_0001
image (1292).JPG,Apple___healthy,batch_0001
image (1191).JPG,Squash___Powdery_mildew,batch_0001
image (39).JPG,Grape___healthy,batch_0001
image (301).JPG,"Pepper,_bell___healthy",batch_0001
image (3883).JPG,Soybean___healthy,batch_0001
image (1030).JPG,Tomato___Late_blight,batch_0001
image (135).JPG,Cherry___healthy,batch_0001
image (2449).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (4601).JPG,Orange___Haunglongbing_(Citrus_greening),batch_0001
image (277).jpg,Corn___Cercospora_leaf_spot Gray_leaf_spot,batch_0001
image (9).JPG,Strawberry___Leaf_scorch,batch_0001
image (697).JPG,Tomato___Tomato_Yellow_Leaf_Curl_Virus,batch_0001
image (164).JPG,Squash___Powdery_mildew,batch_0001
