,image_path,pred,label,identifier
42,Apple___Apple_scab/image (232).JPG,0,0,regular
43,Apple___Apple_scab/image (232)_marked.JPG,3,0,seg_wb
44,Apple___Apple_scab/image (252).JPG,0,0,regular
45,Apple___Apple_scab/image (252)_marked.JPG,5,0,seg_wb
46,Apple___Apple_scab/image (254).JPG,0,0,regular
47,Apple___Apple_scab/image (254)_marked.JPG,3,0,seg_wb
48,Apple___Apple_scab/image (27).JPG,0,0,regular
49,Apple___Apple_scab/image (27)_marked.JPG,22,0,seg_wb
50,Apple___Apple_scab/image (277).JPG,5,0,regular
51,Apple___Apple_scab/image (277)_marked.JPG,0,0,seg_wb
52,Apple___Apple_scab/image (279).JPG,5,0,regular
53,Apple___Apple_scab/image (279)_marked.JPG,0,0,seg_wb
54,Apple___Apple_scab/image (282).JPG,0,0,regular
55,Apple___Apple_scab/image (282)_marked.JPG,3,0,seg_wb
56,Apple___Apple_scab/image (285).JPG,0,0,regular
57,Apple___Apple_scab/image (285)_marked.JPG,15,0,seg_wb
58,Apple___Apple_scab/image (293).JPG,0,0,regular
59,Apple___Apple_scab/image (293)_marked.JPG,3,0,seg_wb
60,Apple___Apple_scab/image (3).JPG,0,0,regular
61,Apple___Apple_scab/image (3)_marked.JPG,3,0,seg_wb
62,Apple___Apple_scab/image (316).JPG,6,0,regular
63,Apple___Apple_scab/image (316)_marked.JPG,22,0,seg_wb
64,Apple___Apple_scab/image (331).JPG,0,0,regular
65,Apple___Apple_scab/image (331)_marked.JPG,1,0,seg_wb
66,Apple___Apple_scab/image (344).JPG,0,0,regular
67,Apple___Apple_scab/image (344)_marked.JPG,3,0,seg_wb
68,Apple___Apple_scab/image (35).JPG,0,0,regular
69,Apple___Apple_scab/image (35)_marked.JPG,3,0,seg_wb
70,Apple___Apple_scab/image (357).JPG,0,0,regular
71,Apple___Apple_scab/image (357)_marked.JPG,1,0,seg_wb
72,Apple___Apple_scab/image (358).JPG,0,0,regular
73,Apple___Apple_scab/image (358)_marked.JPG,3,0,seg_wb
74,Apple___Apple_scab/image (362).JPG,0,0,regular
75,Apple___Apple_scab/image (362)_marked.JPG,3,0,seg_wb
76,Apple___Apple_scab/image (366).JPG,6,0,regular
77,Apple___Apple_scab/image (366)_marked.JPG,0,0,seg_wb
78,Apple___Apple_scab/image (374).JPG,6,0,regular
79,Apple___Apple_scab/image (374)_marked.JPG,0,0,seg_wb
80,Apple___Apple_scab/image (38).JPG,0,0,regular
81,Apple___Apple_scab/image (38)_marked.JPG,3,0,seg_wb
82,Apple___Apple_scab/image (382).JPG,0,0,regular
83,Apple___Apple_scab/image (382)_marked.JPG,12,0,seg_wb
84,Apple___Apple_scab/image (383).JPG,0,0,regular
85,Apple___Apple_scab/image (383)_marked.JPG,3,0,seg_wb
86,Apple___Apple_scab/image (391).JPG,0,0,regular
87,Apple___Apple_scab/image (391)_marked.JPG,29,0,seg_wb
88,Apple___Apple_scab/image (412).JPG,6,0,regular
89,Apple___Apple_scab/image (412)_marked.JPG,0,0,seg_wb
90,Apple___Apple_scab/image (418).JPG,0,0,regular
91,Apple___Apple_scab/image (418)_marked.JPG,26,0,seg_wb
92,Apple___Apple_scab/image (419).JPG,3,0,regular
93,Apple___Apple_scab/image (419)_marked.JPG,0,0,seg_wb
94,Apple___Apple_scab/image (42).JPG,0,0,regular
95,Apple___Apple_scab/image (42)_marked.JPG,22,0,seg_wb
96,Apple___Apple_scab/image (423).JPG,0,0,regular
97,Apple___Apple_scab/image (423)_marked.JPG,28,0,seg_wb
98,Apple___Apple_scab/image (426).JPG,3,0,regular
99,Apple___Apple_scab/image (426)_marked.JPG,0,0,seg_wb
100,Apple___Apple_scab/image (428).JPG,1,0,regular
101,Apple___Apple_scab/image (428)_marked.JPG,5,0,seg_wb
102,Apple___Apple_scab/image (45).JPG,0,0,regular
103,Apple___Apple_scab/image (45)_marked.JPG,3,0,seg_wb
104,Apple___Apple_scab/image (461).JPG,0,0,regular
105,Apple___Apple_scab/image (461)_marked.JPG,20,0,seg_wb
106,Apple___Apple_scab/image (462).JPG,0,0,regular
107,Apple___Apple_scab/image (462)_marked.JPG,9,0,seg_wb
108,Apple___Apple_scab/image (466).JPG,0,0,regular
109,Apple___Apple_scab/image (466)_marked.JPG,4,0,seg_wb
110,Apple___Apple_scab/image (479).JPG,3,0,regular
111,Apple___Apple_scab/image (479)_marked.JPG,0,0,seg_wb
112,Apple___Apple_scab/image (48).JPG,0,0,regular
113,Apple___Apple_scab/image (48)_marked.JPG,3,0,seg_wb
114,Apple___Apple_scab/image (480).JPG,6,0,regular
115,Apple___Apple_scab/image (480)_marked.JPG,0,0,seg_wb
116,Apple___Apple_scab/image (487).JPG,6,0,regular
117,Apple___Apple_scab/image (487)_marked.JPG,0,0,seg_wb
118,Apple___Apple_scab/image (510).JPG,0,0,regular
119,Apple___Apple_scab/image (510)_marked.JPG,25,0,seg_wb
120,Apple___Apple_scab/image (513).JPG,3,0,regular
121,Apple___Apple_scab/image (513)_marked.JPG,0,0,seg_wb
122,Apple___Apple_scab/image (521).JPG,0,0,regular
123,Apple___Apple_scab/image (521)_marked.JPG,9,0,seg_wb
124,Apple___Apple_scab/image (529).JPG,0,0,regular
125,Apple___Apple_scab/image (529)_marked.JPG,29,0,seg_wb
126,Apple___Apple_scab/image (531).JPG,0,0,regular
127,Apple___Apple_scab/image (531)_marked.JPG,3,0,seg_wb
128,Apple___Apple_scab/image (552).JPG,0,0,regular
129,Apple___Apple_scab/image (552)_marked.JPG,12,0,seg_wb
130,Apple___Apple_scab/image (557).JPG,26,0,regular
131,Apple___Apple_scab/image (557)_marked.JPG,0,0,seg_wb
132,Apple___Apple_scab/image (56).JPG,0,0,regular
133,Apple___Apple_scab/image (56)_marked.JPG,5,0,seg_wb
134,Apple___Apple_scab/image (562).JPG,32,0,regular
135,Apple___Apple_scab/image (562)_marked.JPG,0,0,seg_wb
136,Apple___Apple_scab/image (567).JPG,0,0,regular
137,Apple___Apple_scab/image (567)_marked.JPG,8,0,seg_wb
138,Apple___Apple_scab/image (572).JPG,5,0,regular
139,Apple___Apple_scab/image (572)_marked.JPG,0,0,seg_wb
140,Apple___Apple_scab/image (577).JPG,0,0,regular
141,Apple___Apple_scab/image (577)_marked.JPG,1,0,seg_wb
142,Apple___Apple_scab/image (58).JPG,0,0,regular
143,Apple___Apple_scab/image (58)_marked.JPG,10,0,seg_wb
144,Apple___Apple_scab/image (59).JPG,0,0,regular
145,Apple___Apple_scab/image (59)_marked.JPG,17,0,seg_wb
146,Apple___Apple_scab/image (590).JPG,5,0,regular
147,Apple___Apple_scab/image (590)_marked.JPG,0,0,seg_wb
148,Apple___Apple_scab/image (604).JPG,6,0,regular
149,Apple___Apple_scab/image (604)_marked.JPG,0,0,seg_wb
150,Apple___Apple_scab/image (606).JPG,6,0,regular
151,Apple___Apple_scab/image (606)_marked.JPG,0,0,seg_wb
152,Apple___Apple_scab/image (610).JPG,0,0,regular
153,Apple___Apple_scab/image (610)_marked.JPG,11,0,seg_wb
154,Apple___Apple_scab/image (615).JPG,0,0,regular
155,Apple___Apple_scab/image (615)_marked.JPG,3,0,seg_wb
156,Apple___Apple_scab/image (630).JPG,0,0,regular
157,Apple___Apple_scab/image (630)_marked.JPG,3,0,seg_wb
158,Apple___Apple_scab/image (70).JPG,0,0,regular
159,Apple___Apple_scab/image (70)_marked.JPG,9,0,seg_wb
160,Apple___Apple_scab/image (75).JPG,0,0,regular
161,Apple___Apple_scab/image (75)_marked.JPG,3,0,seg_wb
162,Apple___Apple_scab/image (89).JPG,0,0,regular
163,Apple___Apple_scab/image (89)_marked.JPG,2,0,seg_wb
164,Apple___Apple_scab/image (90).JPG,5,0,regular
165,Apple___Apple_scab/image (90)_marked.JPG,0,0,seg_wb
166,Apple___Apple_scab/image (98).JPG,3,0,regular
167,Apple___Apple_scab/image (98)_marked.JPG,0,0,seg_wb
168,Apple___Apple_scab/image (99).JPG,0,0,regular
169,Apple___Apple_scab/image (99)_marked.JPG,7,0,seg_wb
170,Apple___Black_rot/image (1).JPG,25,1,regular
171,Apple___Black_rot/image (1)_marked.JPG,1,1,seg_wb
172,Apple___Black_rot/image (11).JPG,1,1,regular
173,Apple___Black_rot/image (11)_marked.JPG,17,1,seg_wb
174,Apple___Black_rot/image (118).JPG,1,1,regular
175,Apple___Black_rot/image (118)_marked.JPG,13,1,seg_wb
176,Apple___Black_rot/image (119).JPG,1,1,regular
177,Apple___Black_rot/image (119)_marked.JPG,0,1,seg_wb
178,Apple___Black_rot/image (128).JPG,25,1,regular
179,Apple___Black_rot/image (128)_marked.JPG,1,1,seg_wb
180,Apple___Black_rot/image (130).JPG,1,1,regular
181,Apple___Black_rot/image (130)_marked.JPG,18,1,seg_wb
182,Apple___Black_rot/image (134).JPG,1,1,regular
183,Apple___Black_rot/image (134)_marked.JPG,20,1,seg_wb
184,Apple___Black_rot/image (156).JPG,1,1,regular
185,Apple___Black_rot/image (156)_marked.JPG,3,1,seg_wb
186,Apple___Black_rot/image (160).JPG,1,1,regular
187,Apple___Black_rot/image (160)_marked.JPG,15,1,seg_wb
188,Apple___Black_rot/image (166).JPG,1,1,regular
189,Apple___Black_rot/image (166)_marked.JPG,3,1,seg_wb
190,Apple___Black_rot/image (171).JPG,3,1,regular
191,Apple___Black_rot/image (171)_marked.JPG,1,1,seg_wb
192,Apple___Black_rot/image (176).JPG,7,1,regular
193,Apple___Black_rot/image (176)_marked.JPG,1,1,seg_wb
194,Apple___Black_rot/image (187).JPG,1,1,regular
195,Apple___Black_rot/image (187)_marked.JPG,25,1,seg_wb
196,Apple___Black_rot/image (196).JPG,1,1,regular
197,Apple___Black_rot/image (196)_marked.JPG,13,1,seg_wb
198,Apple___Black_rot/image (198).JPG,25,1,regular
199,Apple___Black_rot/image (198)_marked.JPG,3,1,seg_wb
200,Apple___Black_rot/image (204).JPG,1,1,regular
201,Apple___Black_rot/image (204)_marked.JPG,31,1,seg_wb
202,Apple___Black_rot/image (210).JPG,1,1,regular
203,Apple___Black_rot/image (210)_marked.JPG,12,1,seg_wb
204,Apple___Black_rot/image (214).JPG,1,1,regular
205,Apple___Black_rot/image (214)_marked.JPG,0,1,seg_wb
206,Apple___Black_rot/image (216).JPG,3,1,regular
207,Apple___Black_rot/image (216)_marked.JPG,5,1,seg_wb
208,Apple___Black_rot/image (234).JPG,1,1,regular
209,Apple___Black_rot/image (234)_marked.JPG,25,1,seg_wb
210,Apple___Black_rot/image (254).JPG,1,1,regular
211,Apple___Black_rot/image (254)_marked.JPG,3,1,seg_wb
212,Apple___Black_rot/image (255).JPG,1,1,regular
213,Apple___Black_rot/image (255)_marked.JPG,20,1,seg_wb
214,Apple___Black_rot/image (259).JPG,7,1,regular
215,Apple___Black_rot/image (259)_marked.JPG,1,1,seg_wb
216,Apple___Black_rot/image (263).JPG,15,1,regular
217,Apple___Black_rot/image (263)_marked.JPG,1,1,seg_wb
218,Apple___Black_rot/image (27).JPG,1,1,regular
219,Apple___Black_rot/image (27)_marked.JPG,25,1,seg_wb
220,Apple___Black_rot/image (270).JPG,1,1,regular
221,Apple___Black_rot/image (270)_marked.JPG,3,1,seg_wb
222,Apple___Black_rot/image (273).JPG,1,1,regular
223,Apple___Black_rot/image (273)_marked.JPG,3,1,seg_wb
224,Apple___Black_rot/image (276).JPG,1,1,regular
225,Apple___Black_rot/image (276)_marked.JPG,17,1,seg_wb
226,Apple___Black_rot/image (279).JPG,1,1,regular
227,Apple___Black_rot/image (279)_marked.JPG,25,1,seg_wb
228,Apple___Black_rot/image (28).JPG,1,1,regular
229,Apple___Black_rot/image (28)_marked.JPG,5,1,seg_wb
230,Apple___Black_rot/image (298).JPG,1,1,regular
231,Apple___Black_rot/image (298)_marked.JPG,17,1,seg_wb
232,Apple___Black_rot/image (299).JPG,33,1,regular
233,Apple___Black_rot/image (299)_marked.JPG,1,1,seg_wb
234,Apple___Black_rot/image (302).JPG,1,1,regular
235,Apple___Black_rot/image (302)_marked.JPG,21,1,seg_wb
236,Apple___Black_rot/image (305).JPG,1,1,regular
237,Apple___Black_rot/image (305)_marked.JPG,3,1,seg_wb
238,Apple___Black_rot/image (307).JPG,3,1,regular
239,Apple___Black_rot/image (307)_marked.JPG,1,1,seg_wb
240,Apple___Black_rot/image (31).JPG,1,1,regular
241,Apple___Black_rot/image (31)_marked.JPG,3,1,seg_wb
242,Apple___Black_rot/image (320).JPG,1,1,regular
243,Apple___Black_rot/image (320)_marked.JPG,20,1,seg_wb
244,Apple___Black_rot/image (327).JPG,1,1,regular
245,Apple___Black_rot/image (327)_marked.JPG,20,1,seg_wb
246,Apple___Black_rot/image (329).JPG,1,1,regular
247,Apple___Black_rot/image (329)_marked.JPG,15,1,seg_wb
248,Apple___Black_rot/image (33).JPG,1,1,regular
249,Apple___Black_rot/image (33)_marked.JPG,17,1,seg_wb
250,Apple___Black_rot/image (35).JPG,1,1,regular
251,Apple___Black_rot/image (35)_marked.JPG,28,1,seg_wb
252,Apple___Black_rot/image (363).JPG,1,1,regular
253,Apple___Black_rot/image (363)_marked.JPG,17,1,seg_wb
254,Apple___Black_rot/image (364).JPG,1,1,regular
255,Apple___Black_rot/image (364)_marked.JPG,25,1,seg_wb
256,Apple___Black_rot/image (365).JPG,5,1,regular
257,Apple___Black_rot/image (365)_marked.JPG,1,1,seg_wb
258,Apple___Black_rot/image (366).JPG,7,1,regular
259,Apple___Black_rot/image (366)_marked.JPG,1,1,seg_wb
260,Apple___Black_rot/image (396).JPG,1,1,regular
261,Apple___Black_rot/image (396)_marked.JPG,17,1,seg_wb
262,Apple___Black_rot/image (411).JPG,7,1,regular
263,Apple___Black_rot/image (411)_marked.JPG,1,1,seg_wb
264,Apple___Black_rot/image (415).JPG,1,1,regular
265,Apple___Black_rot/image (415)_marked.JPG,4,1,seg_wb
266,Apple___Black_rot/image (418).JPG,1,1,regular
267,Apple___Black_rot/image (418)_marked.JPG,3,1,seg_wb
268,Apple___Black_rot/image (437).JPG,17,1,regular
269,Apple___Black_rot/image (437)_marked.JPG,25,1,seg_wb
270,Apple___Black_rot/image (447).JPG,1,1,regular
271,Apple___Black_rot/image (447)_marked.JPG,3,1,seg_wb
272,Apple___Black_rot/image (450).JPG,1,1,regular
273,Apple___Black_rot/image (450)_marked.JPG,25,1,seg_wb
274,Apple___Black_rot/image (458).JPG,1,1,regular
275,Apple___Black_rot/image (458)_marked.JPG,25,1,seg_wb
276,Apple___Black_rot/image (462).JPG,1,1,regular
277,Apple___Black_rot/image (462)_marked.JPG,17,1,seg_wb
278,Apple___Black_rot/image (465).JPG,1,1,regular
279,Apple___Black_rot/image (465)_marked.JPG,25,1,seg_wb
280,Apple___Black_rot/image (473).JPG,1,1,regular
281,Apple___Black_rot/image (473)_marked.JPG,21,1,seg_wb
282,Apple___Black_rot/image (474).JPG,1,1,regular
283,Apple___Black_rot/image (474)_marked.JPG,3,1,seg_wb
284,Apple___Black_rot/image (477).JPG,7,1,regular
285,Apple___Black_rot/image (477)_marked.JPG,1,1,seg_wb
286,Apple___Black_rot/image (489).JPG,1,1,regular
287,Apple___Black_rot/image (489)_marked.JPG,17,1,seg_wb
288,Apple___Black_rot/image (530).JPG,1,1,regular
289,Apple___Black_rot/image (530)_marked.JPG,29,1,seg_wb
290,Apple___Black_rot/image (534).JPG,1,1,regular
291,Apple___Black_rot/image (534)_marked.JPG,17,1,seg_wb
292,Apple___Black_rot/image (539).JPG,1,1,regular
293,Apple___Black_rot/image (539)_marked.JPG,25,1,seg_wb
294,Apple___Black_rot/image (543).JPG,1,1,regular
295,Apple___Black_rot/image (543)_marked.JPG,31,1,seg_wb
296,Apple___Black_rot/image (551).JPG,1,1,regular
297,Apple___Black_rot/image (551)_marked.JPG,35,1,seg_wb
298,Apple___Black_rot/image (552).JPG,1,1,regular
299,Apple___Black_rot/image (552)_marked.JPG,25,1,seg_wb
300,Apple___Black_rot/image (564).JPG,7,1,regular
301,Apple___Black_rot/image (564)_marked.JPG,1,1,seg_wb
302,Apple___Black_rot/image (575).JPG,1,1,regular
303,Apple___Black_rot/image (575)_marked.JPG,3,1,seg_wb
304,Apple___Black_rot/image (576).JPG,1,1,regular
305,Apple___Black_rot/image (576)_marked.JPG,25,1,seg_wb
306,Apple___Black_rot/image (59).JPG,3,1,regular
307,Apple___Black_rot/image (59)_marked.JPG,25,1,seg_wb
308,Apple___Black_rot/image (597).JPG,1,1,regular
309,Apple___Black_rot/image (597)_marked.JPG,21,1,seg_wb
310,Apple___Black_rot/image (605).JPG,1,1,regular
311,Apple___Black_rot/image (605)_marked.JPG,20,1,seg_wb
312,Apple___Black_rot/image (616).JPG,1,1,regular
313,Apple___Black_rot/image (616)_marked.JPG,3,1,seg_wb
314,Apple___Black_rot/image (620).JPG,1,1,regular
315,Apple___Black_rot/image (620)_marked.JPG,15,1,seg_wb
316,Apple___Black_rot/image (621).JPG,1,1,regular
317,Apple___Black_rot/image (621)_marked.JPG,3,1,seg_wb
318,Apple___Black_rot/image (65).JPG,1,1,regular
319,Apple___Black_rot/image (65)_marked.JPG,17,1,seg_wb
320,Apple___Black_rot/image (90).JPG,1,1,regular
321,Apple___Black_rot/image (90)_marked.JPG,3,1,seg_wb
322,Apple___Black_rot/image (92).JPG,0,1,regular
323,Apple___Black_rot/image (92)_marked.JPG,1,1,seg_wb
324,Apple___Black_rot/image (95).JPG,1,1,regular
325,Apple___Black_rot/image (95)_marked.JPG,25,1,seg_wb
326,Apple___Cedar_apple_rust/image (10).JPG,2,2,regular
327,Apple___Cedar_apple_rust/image (10)_marked.JPG,10,2,seg_wb
328,Apple___Cedar_apple_rust/image (102).JPG,2,2,regular
329,Apple___Cedar_apple_rust/image (102)_marked.JPG,9,2,seg_wb
330,Apple___Cedar_apple_rust/image (12).JPG,2,2,regular
331,Apple___Cedar_apple_rust/image (12)_marked.JPG,31,2,seg_wb
332,Apple___Cedar_apple_rust/image (124).JPG,2,2,regular
333,Apple___Cedar_apple_rust/image (124)_marked.JPG,1,2,seg_wb
334,Apple___Cedar_apple_rust/image (125).JPG,2,2,regular
335,Apple___Cedar_apple_rust/image (125)_marked.JPG,0,2,seg_wb
336,Apple___Cedar_apple_rust/image (136).JPG,2,2,regular
337,Apple___Cedar_apple_rust/image (136)_marked.JPG,8,2,seg_wb
338,Apple___Cedar_apple_rust/image (14).JPG,2,2,regular
339,Apple___Cedar_apple_rust/image (14)_marked.JPG,8,2,seg_wb
340,Apple___Cedar_apple_rust/image (156).JPG,2,2,regular
341,Apple___Cedar_apple_rust/image (156)_marked.JPG,31,2,seg_wb
342,Apple___Cedar_apple_rust/image (175).JPG,2,2,regular
343,Apple___Cedar_apple_rust/image (175)_marked.JPG,31,2,seg_wb
344,Apple___Cedar_apple_rust/image (179).JPG,1,2,regular
345,Apple___Cedar_apple_rust/image (179)_marked.JPG,2,2,seg_wb
346,Apple___Cedar_apple_rust/image (22).JPG,2,2,regular
347,Apple___Cedar_apple_rust/image (22)_marked.JPG,29,2,seg_wb
348,Apple___Cedar_apple_rust/image (241).JPG,2,2,regular
349,Apple___Cedar_apple_rust/image (241)_marked.JPG,10,2,seg_wb
350,Apple___Cedar_apple_rust/image (244).JPG,2,2,regular
351,Apple___Cedar_apple_rust/image (244)_marked.JPG,4,2,seg_wb
352,Apple___Cedar_apple_rust/image (250).JPG,2,2,regular
353,Apple___Cedar_apple_rust/image (250)_marked.JPG,17,2,seg_wb
354,Apple___Cedar_apple_rust/image (261).JPG,2,2,regular
355,Apple___Cedar_apple_rust/image (261)_marked.JPG,8,2,seg_wb
356,Apple___Cedar_apple_rust/image (266).JPG,2,2,regular
357,Apple___Cedar_apple_rust/image (266)_marked.JPG,33,2,seg_wb
358,Apple___Cedar_apple_rust/image (270).JPG,2,2,regular
359,Apple___Cedar_apple_rust/image (270)_marked.JPG,33,2,seg_wb
360,Apple___Cedar_apple_rust/image (273).JPG,2,2,regular
361,Apple___Cedar_apple_rust/image (273)_marked.JPG,32,2,seg_wb
362,Apple___Cedar_apple_rust/image (274).JPG,6,2,regular
363,Apple___Cedar_apple_rust/image (274)_marked.JPG,2,2,seg_wb
364,Apple___Cedar_apple_rust/image (30).JPG,6,2,regular
365,Apple___Cedar_apple_rust/image (30)_marked.JPG,16,2,seg_wb
366,Apple___Cedar_apple_rust/image (34).JPG,2,2,regular
367,Apple___Cedar_apple_rust/image (34)_marked.JPG,29,2,seg_wb
368,Apple___Cedar_apple_rust/image (37).JPG,16,2,regular
369,Apple___Cedar_apple_rust/image (37)_marked.JPG,2,2,seg_wb
370,Apple___Cedar_apple_rust/image (42).JPG,2,2,regular
371,Apple___Cedar_apple_rust/image (42)_marked.JPG,21,2,seg_wb
372,Apple___Cedar_apple_rust/image (5).JPG,2,2,regular
373,Apple___Cedar_apple_rust/image (5)_marked.JPG,8,2,seg_wb
374,Apple___Cedar_apple_rust/image (6).JPG,2,2,regular
375,Apple___Cedar_apple_rust/image (6)_marked.JPG,31,2,seg_wb
376,Apple___Cedar_apple_rust/image (66).JPG,2,2,regular
377,Apple___Cedar_apple_rust/image (66)_marked.JPG,10,2,seg_wb
378,Apple___Cedar_apple_rust/image (72).JPG,2,2,regular
379,Apple___Cedar_apple_rust/image (72)_marked.JPG,0,2,seg_wb
380,Apple___Cedar_apple_rust/image (97).JPG,2,2,regular
381,Apple___Cedar_apple_rust/image (97)_marked.JPG,31,2,seg_wb
382,Apple___healthy/image (1004).JPG,3,3,regular
383,Apple___healthy/image (1004)_marked.JPG,25,3,seg_wb
384,Apple___healthy/image (1008).JPG,16,3,regular
385,Apple___healthy/image (1008)_marked.JPG,3,3,seg_wb
386,Apple___healthy/image (1026).JPG,3,3,regular
387,Apple___healthy/image (1026)_marked.JPG,38,3,seg_wb
388,Apple___healthy/image (1051).JPG,30,3,regular
389,Apple___healthy/image (1051)_marked.JPG,3,3,seg_wb
390,Apple___healthy/image (1070).JPG,26,3,regular
391,Apple___healthy/image (1070)_marked.JPG,3,3,seg_wb
392,Apple___healthy/image (1071).JPG,3,3,regular
393,Apple___healthy/image (1071)_marked.JPG,25,3,seg_wb
394,Apple___healthy/image (1078).JPG,18,3,regular
395,Apple___healthy/image (1078)_marked.JPG,25,3,seg_wb
396,Apple___healthy/image (1115).JPG,18,3,regular
397,Apple___healthy/image (1115)_marked.JPG,3,3,seg_wb
398,Apple___healthy/image (1116).JPG,18,3,regular
399,Apple___healthy/image (1116)_marked.JPG,3,3,seg_wb
400,Apple___healthy/image (1128).JPG,18,3,regular
401,Apple___healthy/image (1128)_marked.JPG,3,3,seg_wb
402,Apple___healthy/image (1136).JPG,3,3,regular
403,Apple___healthy/image (1136)_marked.JPG,25,3,seg_wb
404,Apple___healthy/image (1139).JPG,3,3,regular
405,Apple___healthy/image (1139)_marked.JPG,25,3,seg_wb
406,Apple___healthy/image (1145).JPG,3,3,regular
407,Apple___healthy/image (1145)_marked.JPG,25,3,seg_wb
408,Apple___healthy/image (1165).JPG,3,3,regular
409,Apple___healthy/image (1165)_marked.JPG,26,3,seg_wb
410,Apple___healthy/image (1167).JPG,3,3,regular
411,Apple___healthy/image (1167)_marked.JPG,25,3,seg_wb
412,Apple___healthy/image (120).JPG,18,3,regular
413,Apple___healthy/image (120)_marked.JPG,3,3,seg_wb
414,Apple___healthy/image (122).JPG,18,3,regular
415,Apple___healthy/image (122)_marked.JPG,3,3,seg_wb
416,Apple___healthy/image (1258).JPG,37,3,regular
417,Apple___healthy/image (1258)_marked.JPG,3,3,seg_wb
418,Apple___healthy/image (1286).JPG,25,3,regular
419,Apple___healthy/image (1286)_marked.JPG,3,3,seg_wb
420,Apple___healthy/image (1290).JPG,3,3,regular
421,Apple___healthy/image (1290)_marked.JPG,17,3,seg_wb
422,Apple___healthy/image (1293).JPG,3,3,regular
423,Apple___healthy/image (1293)_marked.JPG,20,3,seg_wb
424,Apple___healthy/image (1306).JPG,11,3,regular
425,Apple___healthy/image (1306)_marked.JPG,3,3,seg_wb
426,Apple___healthy/image (131).JPG,3,3,regular
427,Apple___healthy/image (131)_marked.JPG,4,3,seg_wb
428,Apple___healthy/image (1319).JPG,3,3,regular
429,Apple___healthy/image (1319)_marked.JPG,25,3,seg_wb
430,Apple___healthy/image (1323).JPG,5,3,regular
431,Apple___healthy/image (1323)_marked.JPG,3,3,seg_wb
432,Apple___healthy/image (1341).JPG,3,3,regular
433,Apple___healthy/image (1341)_marked.JPG,38,3,seg_wb
434,Apple___healthy/image (1351).JPG,3,3,regular
435,Apple___healthy/image (1351)_marked.JPG,25,3,seg_wb
436,Apple___healthy/image (1384).JPG,6,3,regular
437,Apple___healthy/image (1384)_marked.JPG,3,3,seg_wb
438,Apple___healthy/image (1388).JPG,18,3,regular
439,Apple___healthy/image (1388)_marked.JPG,3,3,seg_wb
440,Apple___healthy/image (1392).JPG,7,3,regular
441,Apple___healthy/image (1392)_marked.JPG,17,3,seg_wb
442,Apple___healthy/image (1403).JPG,25,3,regular
443,Apple___healthy/image (1403)_marked.JPG,3,3,seg_wb
444,Apple___healthy/image (1409).JPG,0,3,regular
